Model,File,Clone Method,Clone Type,Detect,Compile,Test,Usefulness,Iteration
Claude Opus 4.6,ColorContentProducer,read,Type-3(c),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,CustomToolBar,activateTools,Type-3(d),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,FloatingTextArea,endOverlay,Type-3(c),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,MiniMapView,paint,Type-3(c),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,PolygonFigure,basicDisplayBox,Type-3(c),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,SimpleLayouter,calculateLayout,Type-3(c),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,DragTracker,mouseDrag,Type-3(e),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,JPanelDesktop,createContents,Type-3(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,MDI_DrawApplication,newView,Type-3(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,PolygonTool,deactivate,Type-3(a),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,SVGStorageFormat,store,Type-3(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,TriangleRotationHandle,getOrigin,Type-3(d),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,ElbowHandle,invokeStep,Type-3(d),Yes,Yes,yes,3 incomplete refactoring,no
Claude Opus 4.6,ScribbleTool,point,Type-2(c),Yes,Yes,Yes,"2 direct clone removel, 1 call-based substitution",no
Claude Opus 4.6,URLTool,beginEdit,Type-3(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,NodeFigure,drawBorder,Type-3(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,PertFigure,drawBorder,Type-3(b),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,BufferedUpdateStrategy,draw,Type-2(d),Yes,Yes,Yes,3 incomplete refactoring,no
Claude Opus 4.6,ChangeConnectionHandle,findConnectableFigure,Type-3(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,FigureAndEnumerator,nextFigure,Type-1(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,HandleAndEnumerator,nextHandle,Type-1(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,LocatorConnector,displayBox,Type-1(a),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,LocatorHandle,getCursor,Type-1(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,StandardFigureSelection,getData,Type-1(b),Yes,Yes,Yes,Yes,1
Claude Opus 4.6,ToggleGridCommand,execute,Type-1(c),Yes,Yes,Yes,3 incomplete refactoring,no
